imageName X Y Z Omega Phi Kappa
402_0030_00131343.tif 143708.653197 487789.798263 430.346762 0.095898 45.417773 -90.151422
402_0030_00131344.tif 143807.812084 487789.429113 429.582020 0.099952 45.425817 -90.144183
402_0030_00131346.tif 143907.334662 487789.074371 429.597942 0.099902 45.421296 -90.148708
402_0030_00131348.tif 144007.935901 487789.252527 430.269633 0.112100 45.436061 -90.179203
402_0031_00130749.tif 142876.389625 487557.594893 442.055710 -0.442437 -45.227441 89.585697
402_0031_00130751.tif 142777.741929 487559.282178 444.394741 -0.471801 -45.237933 89.578365
403_0029_00131848.tif 143640.072577 488035.895159 439.758080 -44.906453 0.208454 -0.066818
403_0029_00131849.tif 143540.970296 488035.065948 440.131694 -44.912641 0.215870 -0.060059
403_0029_00131850.tif 143442.482866 488033.470209 441.543649 -44.931158 0.214159 -0.075088
403_0029_00131852.tif 143344.349466 488032.079427 443.209731 -44.894367 0.199140 -0.060313
403_0029_00131853.tif 143245.951580 488030.887231 444.788063 -44.912730 0.207006 -0.079152
403_0029_00131854.tif 143147.550352 488029.746362 446.324078 -44.914070 0.195746 -0.070309
403_0032_00130209.tif 143520.021493 487306.599638 446.569530 43.294803 0.576056 179.933027
403_0032_00130210.tif 143618.804064 487307.616758 445.260411 43.235112 0.603151 179.933970
404_0030_00131328.tif 142814.833382 487787.543170 439.114561 0.334564 -45.002367 -89.493648
404_0030_00131330.tif 142912.888871 487786.425245 438.020816 0.425657 -45.030178 -89.468192
404_0030_00131331.tif 143012.036863 487786.593350 436.139486 0.421708 -45.033751 -89.519106
404_0030_00131333.tif 143111.819675 487785.171726 433.371592 0.344594 -45.016742 -89.505201
405_0028_00132435.tif 143229.797222 488262.848405 454.035931 -45.364573 0.206032 -0.017833
405_0028_00132437.tif 143329.545766 488260.815124 453.856120 -45.342027 0.199428 -0.011270
405_0028_00132439.tif 143429.218589 488260.137083 453.315043 -45.327099 0.201490 -0.017088
405_0028_00132441.tif 143528.585525 488261.618372 452.781537 -45.300647 0.199800 -0.021811
405_0028_00132442.tif 143626.954967 488264.203233 452.098504 -45.277001 0.196181 -0.016364
402_0029_00131850.tif 143442.613557 488029.832418 439.259310 -0.306831 -45.399620 89.756834
402_0029_00131852.tif 143343.738750 488028.480408 440.716476 -0.251275 -45.401434 89.786929
402_0029_00131853.tif 143244.670308 488027.296460 442.111190 -0.289916 -45.407091 89.757889
402_0029_00131854.tif 143145.607128 488026.180484 443.479844 -0.281303 -45.406368 89.772007
402_0029_00131856.tif 143045.999841 488025.519057 444.781215 -0.280275 -45.402897 89.751122
402_0029_00131857.tif 142945.193293 488025.387094 446.628334 -0.284125 -45.411576 89.782611
402_0029_00131859.tif 142847.023686 488025.072724 448.238727 -0.349054 -45.406464 89.749887
402_0029_00131900.tif 142747.217534 488024.498430 448.712212 -0.298226 -45.399005 89.759511
402_0029_00131901.tif 142646.987391 488024.202725 447.401757 -0.279300 -45.411438 89.772546
402_0029_00131903.tif 142547.567520 488023.933861 445.913029 -0.294768 -45.396523 89.755112
402_0029_00131904.tif 142450.086788 488023.509496 444.967591 -0.304649 -45.406872 89.763659
402_0029_00131906.tif 142349.770973 488023.020351 444.325524 -0.304421 -45.415322 89.757867
402_0029_00131907.tif 142250.161996 488022.982741 444.541843 -0.251627 -45.395168 89.749186
403_0027_00133013.tif 143691.599765 488493.441257 442.289537 -44.919528 0.077037 -0.155462
403_0027_00133014.tif 143591.671149 488492.788597 441.768274 -44.904854 0.075052 -0.157415
403_0027_00133016.tif 143492.193778 488492.865008 441.091987 -44.883190 0.063054 -0.156933
403_0027_00133017.tif 143392.653686 488493.475335 440.781508 -44.908191 0.065822 -0.175604
403_0027_00133018.tif 143292.706285 488494.631651 440.485213 -44.932082 0.063753 -0.186252
403_0027_00133020.tif 143193.411300 488496.047499 439.522146 -44.912043 0.060098 -0.197459
403_0027_00133021.tif 143093.724333 488497.861829 439.420356 -44.923083 0.036383 -0.196833
403_0027_00133023.tif 142994.783307 488499.247332 439.125112 -44.901534 0.043270 -0.194358
403_0027_00133024.tif 142894.200500 488500.321873 437.917096 -44.864334 0.016706 -0.189818
403_0027_00133025.tif 142794.911571 488500.835287 436.993137 -44.893915 0.022581 -0.215709
403_0032_00130205.tif 143320.424420 487311.749495 443.918922 44.868807 0.073222 179.961342
403_0032_00130207.tif 143420.436169 487311.028624 443.352810 44.899671 0.079163 179.951182
403_0032_00130209.tif 143521.194200 487311.698547 443.435233 44.930612 0.079596 179.955740
404_0029_00131838.tif 144336.588141 488024.260583 442.555028 -0.233830 45.069096 90.118946
404_0029_00131839.tif 144237.772790 488025.466964 441.051574 -0.209342 45.075439 90.121087
404_0029_00131841.tif 144139.018733 488027.134562 439.532988 -0.227976 45.072112 90.112855
404_0029_00131842.tif 144037.749472 488028.656592 438.312557 -0.229401 45.065890 90.118629
404_0029_00131844.tif 143938.978618 488030.240491 437.882133 -0.194287 45.071518 90.119141
404_0029_00131845.tif 143841.040676 488031.607328 437.838826 -0.189612 45.073186 90.121114
404_0029_00131846.tif 143740.427968 488032.465712 437.632189 -0.218696 45.085344 90.113629
404_0029_00131848.tif 143641.885285 488032.311967 437.506775 -0.207520 45.071444 90.111471
404_0029_00131849.tif 143542.008520 488031.439113 437.755285 -0.205416 45.081579 90.113298
404_0029_00131850.tif 143442.797366 488029.800530 439.003953 -0.208195 45.071690 90.100106
404_0029_00131852.tif 143343.931461 488028.402826 440.477950 -0.191602 45.071978 90.131036
404_0029_00131853.tif 143244.877121 488027.168153 441.872746 -0.182082 45.067247 90.099264
405_0028_00132439.tif 143429.544821 488258.241034 451.370421 -45.369402 0.029678 -0.107829
405_0028_00132441.tif 143529.717966 488259.725934 450.999151 -45.345706 0.041464 -0.107683
405_0031_00130737.tif 143767.296178 487542.227746 440.970484 45.368677 -0.161484 179.749036
405_0031_00130738.tif 143667.752764 487542.527600 440.379570 45.417916 -0.141677 179.764419
405_0031_00130739.tif 143567.538469 487543.646194 440.206934 45.362740 -0.168034 179.759234
405_0031_00130741.tif 143469.048463 487544.854403 440.623470 45.363139 -0.170256 179.758233
405_0031_00130742.tif 143369.427682 487546.537915 441.310209 45.390702 -0.178312 179.762835
405_0031_00130744.tif 143269.552518 487548.741921 441.813923 45.386061 -0.178331 179.767515
405_0031_00130745.tif 143171.831761 487551.165846 442.229476 45.380992 -0.184517 179.772856
