I_img.jpg,X,Y,Z,roll,pitch,yaw
I_179000024_0022_01_0024_P00_01.jpg.jpg,127290.0455,486325.9025,375.453,0.6542,-41.9087,90.5354
I_179000025_0022_01_0023_P00_01.jpg.jpg,127288.3635,486476.902,375.8286,0.4465,-42.045,90.3369
I_179000026_0022_01_0022_P00_01.jpg.jpg,127287.0071,486627.7847,377.3329,0.5492,-42.0075,90.4008
I_179000027_0022_01_0021_P00_01.jpg.jpg,127286.0439,486778.8116,379.7021,0.6159,-41.9907,90.5557
I_179000028_0022_01_0020_P00_01.jpg.jpg,127284.7939,486929.8202,380.1686,0.691,-42.1432,90.5239
I_179000029_0022_01_0019_P00_01.jpg.jpg,127284.6284,487080.8088,380.6682,0.6897,-42.0134,90.5714
I_179000030_0022_01_0018_P00_01.jpg.jpg,127285.2955,487231.7874,381.7641,0.5443,-41.9988,90.4583
I_179000031_0022_01_0017_P00_01.jpg.jpg,127285.9281,487382.7718,380.77,0.5986,-41.9863,90.5093
I_179000032_0022_01_0016_P00_01.jpg.jpg,127285.1189,487533.7039,377.7722,0.5136,-42.0266,90.4583
I_179000033_0022_01_0015_P00_01.jpg.jpg,127283.9837,487684.8685,375.296,0.4987,-41.9612,90.4064
I_179000034_0022_01_0014_P00_01.jpg.jpg,127283.5959,487835.8901,371.2952,0.489,-41.9416,90.4008
I_179000035_0022_01_0013_P00_01.jpg.jpg,127283.5275,487986.9412,367.2347,0.4062,-41.9864,90.2392
I_179000036_0022_01_0012_P00_01.jpg.jpg,127282.2287,488137.9153,365.4367,0.3942,-41.987,90.287
I_179000037_0022_01_0011_P00_01.jpg.jpg,127281.5589,488288.9863,365.4011,0.5044,-41.9961,90.4078
I_179000038_0022_01_0010_P00_01.jpg.jpg,127281.8837,488440.0134,365.4862,0.5695,-42.0167,90.4366
I_179000039_0022_01_0009_P00_01.jpg.jpg,127281.2444,488591.0324,368.1357,0.6266,-41.9662,90.5885
I_179000040_0022_01_0008_P00_01.jpg.jpg,127280.0736,488742.0203,370.189,0.5597,-41.9863,90.5396
I_179000041_0022_01_0007_P00_01.jpg.jpg,127278.1686,488893.0667,372.5878,0.562,-42.0147,90.4633
I_179000042_0022_01_0006_P00_01.jpg.jpg,127278.2728,489044.1387,373.8796,0.5305,-42.0442,90.4951
I_179000043_0022_01_0005_P00_01.jpg.jpg,127282.2656,489195.1692,373.9183,0.6014,-42.031,90.5431
I_179000044_0022_01_0004_P00_01.jpg.jpg,127286.1292,489346.1571,374.2971,0.8771,-41.9932,90.9693
I_179000045_0022_01_0003_P00_01.jpg.jpg,127286.1021,489497.175,374.3987,0.5735,-42.0214,90.5312
I_179000046_0022_01_0002_P00_01.jpg.jpg,127278.3178,489648.2233,376.9088,0.4471,-42.0403,90.4115
I_179000047_0022_01_0001_P00_01.jpg.jpg,127274.3185,489799.2904,379.3101,0.8689,-42.1245,90.919
I_179000049_0021_01_0001_P00_01.jpg.jpg,127067.5902,490131.6036,362.9157,-0.5741,42.1168,-89.4125
I_179000050_0021_01_0002_P00_01.jpg.jpg,127062.0079,489980.617,363.1368,-0.4216,41.9541,-89.8962
I_179000051_0021_01_0003_P00_01.jpg.jpg,127062.9117,489829.6847,363.1234,-0.659,42.0761,-89.4796
I_179000052_0021_01_0004_P00_01.jpg.jpg,127062.2632,489678.7753,366.6639,-0.5035,41.9386,-89.5341
I_179000053_0021_01_0005_P00_01.jpg.jpg,127063.9669,489527.8262,369.9106,-0.476,42.0322,-89.7258
I_179000054_0021_01_0006_P00_01.jpg.jpg,127065.7719,489376.8778,371.9209,-0.5616,42.041,-89.4919
I_179000055_0021_01_0007_P00_01.jpg.jpg,127067.8975,489225.8042,367.087,-0.6678,42.0424,-89.3907
I_179000056_0021_01_0008_P00_01.jpg.jpg,127066.6044,489074.8065,365.1277,-0.6123,41.9963,-89.5237
I_179000057_0021_01_0009_P00_01.jpg.jpg,127065.363,488923.8008,364.241,-0.699,41.9762,-89.2942
I_179000058_0021_01_0010_P00_01.jpg.jpg,127065.7264,488772.8388,362.3674,-0.5027,42.026,-89.5371
I_179000059_0021_01_0011_P00_01.jpg.jpg,127065.6129,488621.7715,362.8192,-0.5489,41.9872,-89.5866
I_179000060_0021_01_0012_P00_01.jpg.jpg,127068.9279,488470.7842,366.4578,-0.3952,41.9419,-89.8055
I_179000061_0021_01_0013_P00_01.jpg.jpg,127072.3507,488319.8124,369.567,-0.7278,42.0256,-89.2929
I_179000062_0021_01_0014_P00_01.jpg.jpg,127070.854,488168.7185,370.717,-0.4664,42.0507,-89.6981
I_179000063_0021_01_0015_P00_01.jpg.jpg,127069.7069,488017.6643,370.2181,-0.5398,41.9727,-89.5184
I_179000064_0021_01_0016_P00_01.jpg.jpg,127070.6311,487866.6725,367.2437,-0.6209,42.0688,-89.4306
I_179000065_0021_01_0017_P00_01.jpg.jpg,127071.908,487715.6372,367.0217,-0.6865,41.9889,-89.3121
I_179000066_0021_01_0018_P00_01.jpg.jpg,127072.8078,487564.6384,367.4289,-0.6503,41.9772,-89.403
I_179000067_0021_01_0019_P00_01.jpg.jpg,127073.083,487413.5735,366.2566,-0.5077,41.9666,-89.6367
I_179000068_0021_01_0020_P00_01.jpg.jpg,127073.9041,487262.4842,366.1685,-0.4219,41.9752,-89.7025
I_179000069_0021_01_0021_P00_01.jpg.jpg,127073.0877,487111.4907,366.9686,-0.6634,42.0077,-89.3712
I_179000070_0021_01_0022_P00_01.jpg.jpg,127070.1891,486960.4733,367.7993,-0.7704,42.0148,-89.2549
I_179000071_0021_01_0023_P00_01.jpg.jpg,127071.9865,486809.4537,369.0569,-0.3671,42.0376,-89.8623
I_179000072_0021_01_0024_P00_01.jpg.jpg,127073.2362,486658.4938,370.1414,-0.7304,41.8976,-89.3225
I_179000073_0021_01_0025_P00_01.jpg.jpg,127073.5984,486507.4558,368.3877,-0.6449,42.009,-89.3581
I_179000074_0021_01_0026_P00_01.jpg.jpg,127073.5117,486356.5015,365.1332,-0.6539,41.9681,-89.4188
I_179000076_0020_01_0027_P00_01.jpg.jpg,126861.6011,486409.5321,378.5692,0.6828,-41.9199,90.7117
I_179000077_0020_01_0026_P00_01.jpg.jpg,126855.9927,486560.558,377.2158,0.1657,-42.0596,89.8861
I_179000078_0020_01_0025_P00_01.jpg.jpg,126851.498,486711.5896,378.0026,0.6565,-42.0434,90.6025
I_179000079_0020_01_0024_P00_01.jpg.jpg,126852.3208,486862.5471,378.5153,0.7029,-42.0578,90.5767
I_179000080_0020_01_0023_P00_01.jpg.jpg,126853.7446,487013.5337,377.9307,0.538,-42.0418,90.4308
I_179000081_0020_01_0022_P00_01.jpg.jpg,126855.916,487164.4924,378.5893,0.6021,-42.0182,90.4794
I_179000082_0020_01_0021_P00_01.jpg.jpg,126856.9586,487315.6328,376.6684,0.5901,-41.9577,90.4686
I_179000083_0020_01_0020_P00_01.jpg.jpg,126855.3199,487466.6173,375.323,0.6411,-42.03,90.5644
I_179000084_0020_01_0019_P00_01.jpg.jpg,126854.3194,487617.6346,373.3927,0.5504,-41.9461,90.4636
I_179000085_0020_01_0018_P00_01.jpg.jpg,126854.0546,487768.6555,369.1074,0.5983,-41.986,90.5046
I_179000086_0020_01_0017_P00_01.jpg.jpg,126853.3875,487919.6445,365.0488,0.6275,-41.9889,90.5281
